"eco_values","species","latitude","longitude","date_obs","source","occurrence_id","tmax_mean_c","prec_mean_annual","current_july_temp_c","future_july_2050_c","july_temp_change_c","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","NDVI"
51,"Ursus arctos horribilis",69.2828135601,-139.7906158315,2023-07-22,"inat",177,-5.11153846153843,16.5,10.45,13.2500000000001,2.80000000000001,"Boreal","Moist","Sparsely or Non vegetated","Mountains","Boreal Moist",28,131,159,"Boreal Moist Sparsely or Non vegetated on Mountains","#1C839F",536,-0.0281
52,"Ursus maritimus",55.1055171948,-85.9374487778,2025-10-01,"inat",304,-1.92692307692306,21.5,13.55,15.35,1.80000000000001,"Boreal","Moist","Shrubland","Plains","Boreal Moist",35,81,70,"Boreal Moist Shrubland on Plains","#235146",64,0.3709
52,"Ursus maritimus",58.7686127339,-93.7403714308,2025-11-10,"inat",302,-4.62692307692305,3,8.85000000000002,10.65,1.80000000000001,"Boreal","Moist","Shrubland","Plains","Boreal Moist",35,81,70,"Boreal Moist Shrubland on Plains","#235146",4,0.2616
53,"Ursus maritimus",55.5616777724,-87.8644045132,2025-10-03,"inat",305,-1.88846153846151,20,13.95,15.65,1.69999999999999,"Boreal","Moist","Forest","Plains","Boreal Moist",0,70,4,"Boreal Moist Forest on Plains","#004604",83,0.4757
53,"Ursus maritimus",58.6608666397,-93.4292345471,2025-11-11,"inat",296,-4.40384615384613,3,9.35000000000002,11.15,1.80000000000001,"Boreal","Moist","Forest","Plains","Boreal Moist",0,70,4,"Boreal Moist Forest on Plains","#004604",6,0.3394
53,"Ursus maritimus",58.7184475962,-93.892867139,2025-11-05,"inat",289,-4.39615384615382,2.5,9.65000000000003,11.65,2,"Boreal","Moist","Forest","Plains","Boreal Moist",0,70,4,"Boreal Moist Forest on Plains","#004604",16,0.2959
53,"Ursus maritimus",54.7003326416,-83.0303039551,1969-12-31,"inat",311,-1.84230769230766,21.5,12.85,14.95,2.10000000000002,"Boreal","Moist","Forest","Plains","Boreal Moist",0,70,4,"Boreal Moist Forest on Plains","#004604",28,0.3487
53,"Ursus maritimus",58.739208133,-94.0899003611,2025-11-01,"inat",291,-4.44999999999999,2.5,9.55000000000001,11.7500000000001,2.20000000000005,"Boreal","Moist","Forest","Plains","Boreal Moist",0,70,4,"Boreal Moist Forest on Plains","#004604",16,0.3043
53,"Ursus maritimus",58.7342193239,-93.8020218909,2024-10-14,"inat",280,-4.48076923076923,3,9.35000000000002,11.2500000000001,1.90000000000003,"Boreal","Moist","Forest","Plains","Boreal Moist",0,70,4,"Boreal Moist Forest on Plains","#004604",16,0.1509
54,"Ursus arctos",64.4933979796,-138.217088885,2025-06-09,"inat",159,-1.55000000000001,18.5,12.65,15.35,2.69999999999999,"Boreal","Moist","Shrubland","Mountains","Boreal Moist",1,105,0,"Boreal Moist Shrubland on Mountains","#016900",1096,0.0934
